wisid                                            ,school                                                     ,location                 ,latitude    ,longitude    , , ,
49081                                            ,Eastern New Mexico University                              ,"Portales, NM"           ,34.1760335  ,-103.3492763 , , ,
49527                                            ,Eastern Oregon University                                  ,"La Grande, OR"          ,45.3181334  ,-118.0916445 , , ,
49447                                            ,Eastern Washington University                              ,"Cheney, WA"             ,47.49143095 ,-117.5859015 , , ,
49118                                            ,Edinboro University of Pennsylvania                        ,"Edinboro, PA"           ,41.8729751  ,-80.12049606 , , ,
49507                                            ,Elizabeth City State University                            ,"Elizabeth City, NC"     ,36.2800894  ,-76.21336429 , , ,
49179                                            ,Elmhurst College                                           ,"Elmhurst, IL"           ,41.8994745  ,-87.9403418  , , ,
49043                                            ,Elon University                                            ,"Elon, NC"               ,36.10652745 ,-79.50283881 , , ,
49547                                            ,Emory and Henry College                                    ,"Emory, VA"              ,36.7716217  ,-81.82918716 , , ,
49086                                            ,Emporia State University                                   ,"Emporia, KS"            ,38.4132728  ,-96.1801001  , , ,
49571                                            ,Endicott College                                           ,"Beverly, MA"            ,42.55406905 ,-70.84413662 , , ,
49173                                            ,Eureka College                                             ,"Eureka, IL"             ,40.7135807  ,-89.2688043  , , ,
49330                                            ,Fairleigh Dickinson University                             ,"Madison, NJ"            ,40.89808505 ,-74.03071414 , , ,
49497                                            ,Fairmont State College                                     ,"Fairmont, WV"           ,39.48538535 ,-80.16187825 , , ,
49512                                            ,Fayetteville State University                              ,"Fayetteville, NC"       ,35.0726     ,-78.8924739  , , ,
49524                                            ,Ferris State University                                    ,"Big Rapids, MI"         ,43.6828521  ,-85.48361918 , , ,
49269                                            ,Ferrum College                                             ,"Ferrum, VA"             ,36.93142245 ,-80.02813059 , , ,
49202                                            ,Fitchburg State College                                    ,"Fitchburg, MA"          ,42.5903661  ,-71.8119837  , , ,
49412                                            ,Florida Agricultural and Mechanical University             ,"Tallahassee, FL"        ,30.4227425  ,-84.28759934 , , ,
49445                                            ,Florida Atlantic University                                ,"Boca Raton, FL"         ,26.11940365 ,-80.14169191 , , ,
49019                                            ,Florida International University                           ,"Miami, FL"              ,25.7553898  ,-80.37628328 , , ,
49155                                            ,Florida State University                                   ,"Tallahassee, FL"        ,30.44235995 ,-84.29747867 , , ,
49411                                            ,Fordham University                                         ,"Bronx, NY"              ,40.86173435 ,-73.88603169 , , ,
49124                                            ,Fort Hays State University                                 ,"Hays, KS"               ,38.87068315 ,-99.34421146 , , ,
49460                                            ,Fort Lewis College                                         ,"Durango, CO"            ,37.27719755 ,-107.86763   , , ,
49291                                            ,Fort Valley State University                               ,"Fort Valley, GA"        ,32.5336633  ,-83.89504621 , , ,
49217                                            ,Framingham State College                                   ,"Framingham, MA"         ,42.2792625  ,-71.416172   , , ,
49314                                            ,Franklin & Marshall College                                ,"Lancaster, PA"          ,40.0489875  ,-76.32009869 , , ,
49252                                            ,Franklin College                                           ,"Franklin, IN"           ,39.47660655 ,-86.03725773 , , ,
49528                                            ,Frostburg State University                                 ,"Frostburg, MD"          ,39.6476066  ,-78.94059834 , , ,
49037                                            ,Furman University                                          ,"Greenville, SC"         ,34.92577435 ,-82.43852581 , , ,
49511                                            ,Gannon University                                          ,"Erie, PA"               ,42.12726475 ,-80.08845289 , , ,
49053                                            ,Gardner-Webb University                                    ,"Boiling Springs, NC"    ,35.2463956  ,-81.67087056 , , ,
49432                                            ,Georgetown University                                      ,"Washington, DC"         ,38.90893925 ,-77.07457962 , , ,
49151                                            ,Georgia Institute of Technology                            ,"Atlanta, GA"            ,33.776033   ,-84.39884086 , , ,
49038                                            ,Georgia Southern University                                ,"Statesboro, GA"         ,32.42143805 ,-81.78450529 , , ,
49125                                            ,Gettysburg College                                         ,"Gettysburg, PA"         ,39.8378577  ,-77.23958727 , , ,
49473                                            ,Glenville State College                                    ,"Glenville, WV"          ,38.93557715 ,-80.83390401 , , ,
49054                                            ,Grambling State University                                 ,"Grambling, LA"          ,32.51950275 ,-92.72116383 , , ,
49519                                            ,Grand Valley State University                              ,"Allendale, MI"          ,42.96351755 ,-85.88623554 , , ,
49270                                            ,Greensboro College                                         ,"Greensboro, NC"         ,36.0705057  ,-79.8001837  , , ,
49174                                            ,Greenville College                                         ,"Greenville, IL"         ,38.89419455 ,-89.40925707 , , ,
49553                                            ,Grinnell College                                           ,"Grinnell, IA"           ,41.75111985 ,-92.71984863 , , ,
49568                                            ,Grove City College                                         ,"Grove City, PA"         ,41.1553489  ,-80.07874862 , , ,
49548                                            ,Guilford College                                           ,"Greensboro, NC"         ,36.0918026  ,-79.8872571  , , ,
49561                                            ,Gustavus Adolphus College                                  ,"St. Peter, MN"          ,44.3217827  ,-93.97404805 , , ,
49215                                            ,Hamilton College                                           ,"Clinton, NY"            ,43.0537974  ,-75.40689908 , , ,
49565                                            ,Hamline University                                         ,"St. Paul, MN"           ,44.96649975 ,-93.16459929 , , ,
49247                                            ,Hampden-Sydney College                                     ,"Hampden-Sydney, VA"     ,37.24316945 ,-78.45863589 , , ,
49419                                            ,Hampton University                                         ,"Hampton, VA"            ,37.0210096  ,-76.33862554 , , ,
49253                                            ,Hanover College                                            ,"Hanover, IN"            ,38.7141725  ,-85.4610948  , , ,
49062                                            ,Harding University                                         ,"Searcy, AR"             ,35.2470295  ,-91.7270818  , , ,
49302                                            ,Hardin-Simmons University                                  ,"Abilene, TX"            ,32.4777117  ,-99.73415759 , , ,
49143                                            ,Hartwick College                                           ,"Oneonta, NY"            ,42.45997815 ,-75.07146883 , , ,
49026                                            ,Harvard University                                         ,"Boston, MA"             ,42.36790855 ,-71.12678237 , , ,
49539                                            ,Heidelberg College                                         ,"Tiffin, OH"             ,41.11442525 ,-83.16686667 , , ,
49068                                            ,Henderson State University                                 ,"Arkadelphia, AR"        ,34.1274736  ,-93.0597079  , , ,
49056                                            ,Hillsdale College                                          ,"Hillsdale, MI"          ,41.9328142  ,-84.6336594  , , ,
49239                                            ,Hiram College                                              ,"Hiram, OH"              ,41.3136172  ,-81.14306954 , , ,
49130                                            ,Hobart and William Smith Colleges                          ,"Geneva, NY"             ,42.8588178  ,-76.98510434 , , ,
49440                                            ,Hofstra University                                         ,"Hempstead, NY"          ,40.71703345 ,-73.59983501 , , ,
49315                                            ,Hope College                                               ,"Holland, MI"            ,42.7867245  ,-86.09964267 , , ,
49303                                            ,Howard Payne University                                    ,"Brownwood, TX"          ,31.7157083  ,-98.9869945  , , ,
49420                                            ,Howard University                                          ,"Washington, DC"         ,38.921525   ,-77.01953566 , , ,
49483                                            ,Humboldt State University                                  ,"Arcata, CA"             ,40.87558755 ,-124.0779998 , , ,
49227                                            ,Huntingdon College                                         ,"Montgomery, AL"         ,32.3509723  ,-86.2852461  , , ,
49322                                            ,Husson College                                             ,"Bangor, ME"             ,44.0984065  ,-70.2175542  , , ,
49452                                            ,Idaho State University                                     ,"Pocatello, ID"          ,42.859944   ,-112.4078309 , , ,
49337                                            ,Illinois College                                           ,"Jacksonville, IL"       ,39.7291655  ,-90.24647315 , , ,
49011                                            ,Illinois State University                                  ,"Normal, IL"             ,40.51799375 ,-89.00846071 , , ,
49180                                            ,Illinois Wesleyan University                               ,"Bloomington, IL"        ,40.49244095 ,-88.99046156 , , ,
49012                                            ,Indiana State University                                   ,"Terre Haute, IN"        ,39.4703727  ,-87.40819676 , , ,
49119                                            ,Indiana University of Pennsylvania                         ,"Indiana, PA"            ,40.6158628  ,-79.16000437 , , ,
49360                                            ,"Indiana University, Bloomington"                          ,"Bloomington, IN"        ,39.1701218  ,-86.5260978  , , ,
49392                                            ,Iona College                                               ,"New Rochelle, NY"       ,40.9252494  ,-73.7882666  , , ,
49166                                            ,Iowa State University                                      ,"Ames, IA"               ,42.02791015 ,-93.64464415 , , ,
49144                                            ,Ithaca College                                             ,"Ithaca, NY"             ,42.4195902  ,-76.49849198 , , ,
49051                                            ,Jackson State University                                   ,"Jackson, MS"            ,32.29640925 ,-90.20743755 , , ,
