wis_id,school_short,location,coach,,,,
49217,Framingham State College,"Framingham, MA",Sim AI,,,,
49314,Franklin & Marshall College,"Lancaster, PA",Sim AI,,,,
49252,Franklin College,"Franklin, IN",Sim AI,,,,
49528,Frostburg State University,"Frostburg, MD",Sim AI,,,,
49037,Furman University,"Greenville, SC",Sim AI,,,,
49511,Gannon University,"Erie, PA",Sim AI,,,,
49053,Gardner-Webb University,"Boiling Springs, NC",Sim AI,,,,
49432,Georgetown University,"Washington, DC",Sim AI,,,,
49151,Georgia Institute of Technology,"Atlanta, GA",Sim AI,,,,
49038,Georgia Southern University,"Statesboro, GA",Sim AI,,,,
49125,Gettysburg College,"Gettysburg, PA",Sim AI,,,,
49473,Glenville State College,"Glenville, WV",Sim AI,,,,
49054,Grambling State University,"Grambling, LA",Sim AI,,,,
49519,Grand Valley State University,"Allendale, MI",Sim AI,,,,
49270,Greensboro College,"Greensboro, NC",Sim AI,,,,
49174,Greenville College,"Greenville, IL",Sim AI,,,,
49553,Grinnell College,"Grinnell, IA",anthony_jard,,,,
49568,Grove City College,"Grove City, PA",Sim AI,,,,
49548,Guilford College,"Greensboro, NC",Sim AI,,,,
49561,Gustavus Adolphus College,"St. Peter, MN",Sim AI,,,,
49215,Hamilton College,"Clinton, NY",mm111314,,,,
49565,Hamline University,"St. Paul, MN",Sim AI,,,,
49247,Hampden-Sydney College,"Hampden-Sydney, VA",rjohn0526,,,,
49419,Hampton University,"Hampton, VA",Sim AI,,,,
49253,Hanover College,"Hanover, IN",manonde01,,,,
49062,Harding University,"Searcy, AR",Sim AI,,,,
49302,Hardin-Simmons University,"Abilene, TX",Sim AI,,,,
49143,Hartwick College,"Oneonta, NY",Sim AI,,,,
49026,Harvard University,"Boston, MA",Sim AI,,,,
49539,Heidelberg College,"Tiffin, OH",Sim AI,,,,
49068,Henderson State University,"Arkadelphia, AR",Sim AI,,,,
49056,Hillsdale College,"Hillsdale, MI",Sim AI,,,,
49239,Hiram College,"Hiram, OH",goldencats,,,,
49130,"300 Pulteney St, Geneva, NY 14456","Geneva, NY",Sim AI,,"300 Pulteney St, Geneva, NY 14456",Hobart and William Smith Colleges ,
49440,Hofstra University,"Hempstead, NY",Sim AI,,,,
49315,Hope College,"Holland, MI",Sim AI,,,,
49303,Howard Payne University,"Brownwood, TX",Sim AI,,,,
49420,Howard University,"Washington, DC",Sim AI,,,,
49483,Humboldt State University,"Arcata, CA",champ83,,,,
49227,Huntingdon College,"Montgomery, AL",knutson,,,,
49322,Husson College,"Bangor, ME",Sim AI,,,,
49452,Idaho State University,"Pocatello, ID",Sim AI,,,,
49337,Illinois College,"Jacksonville, IL",Sim AI,,,,
49011,Illinois State University,"Normal, IL",Sim AI,,,,
49180,Illinois Wesleyan University,"Bloomington, IL",Sim AI,,,,
49012,Indiana State University,"Terre Haute, IN",Sim AI,,,,
49119,Indiana University of Pennsylvania ,"Indiana, PA",Sim AI,,,,
49360,"Indiana University, Bloomington","Bloomington, IN",Sim AI,,,,
49392,Iona College,"New Rochelle, NY",Sim AI,,,,
49166,Iowa State University,"Ames, IA",Sim AI,,,,
49144,Ithaca College,"Ithaca, NY",Sim AI,,,,
49051,Jackson State University,"Jackson, MS",Sim AI,,,,
49396,Jacksonville State University,"Jacksonville, AL",Sim AI,,,,
49409,Jacksonville University,"Jacksonville, FL",bnscpl,,,,
49435,James Madison University,"Harrisonburg, VA",awaskow,,,,
49535,John Carroll University,"University Heights, OH",Sim AI,,,,
49126,Johns Hopkins University,"Baltimore, MD",Sim AI,,,,
49513,Johnson C. Smith University,"Charlotte, NC",Sim AI,,,,
49331,Juniata College,"Huntingdon, PA",Trevorpeters,,,,
49316,Kalamazoo College,"Kalamazoo, MI",Sim AI,,,,
49161,Kansas State University,"Manhattan, KS",Sim AI,,,,
49219,Kean University,"Union, NJ",Sim AI,,,,
49377,Kent State University,"Kent, OH",Sim AI,,,,
49292,Kentucky State University,"Frankfort, KY",murawskb,,,,
49298,Kentucky Wesleyan College,"Owensboro, KY",nucbrick,,,,
49233,Kenyon College,"Gambier, OH",Sim AI,,,,
49326,King`s College (Pennsylvania) ,"Wilkes-Barre, PA",Sim AI,,,,
49554,Knox College,"Galesburg, IL",Sim AI,,,,
49112,Kutztown University of Pennsylvania ,"Kutztown, PA",bdllpps,,,,
49416,La Salle University,"Philadelphia, PA",Sim AI,,,,
49386,Lafayette College,"Easton, PA",Sim AI,,,,
49338,Lake Forest College,"Lake Forest, IL",Sim AI,,,,
49175,Lakeland College,"Sheboygan, WI",Sim AI,,,,
49296,Lane College,"Jackson, TN",Sim AI,,,,
49555,Lawrence University,"Appleton, WI",Sim AI,,,,
49332,Lebanon Valley College,"Annville, PA",mbriese,,,,
49387,Lehigh University,"Bethlehem, PA",bkdries,,,,
49471,Lenoir-Rhyne College,"Hickory, NC",Sim AI,,,,
49243,Lewis and Clark College,"Portland, OR",Sim AI,,,,
49505,Liberty University,"Lynchburg, VA",Sim AI,,,,
49244,Linfield College,"Mc Minnville, OR",whiteshadowe,,,,
49514,Livingstone College,"Salisbury, NC",Sim AI,,,,
49095,Lock Haven University of Pennsylvania ,"Lock Haven, PA",Sim AI,,,,
49489,Long Island University,"Brookville, NY",bigpoppa85,,,,
49185,Loras College,"Dubuque, IA",Sim AI,,,,
49304,Louisiana College,"Pineville, LA",geauxdaddy,,,,
48981,Louisiana State University,"Baton Rouge, LA",kensei44,,,,
48998,Louisiana Tech University,"Ruston, LA",Sim AI,,,,
49186,Luther College,"Decorah, IA",Sim AI,,,,
49327,Lycoming College,"Williamsport, PA",Sim AI,,,,
49319,Macalester College,"St. Paul, MN",Sim AI,,,,
49176,MacMurray College,"Jacksonville, IL",ebaylus,,,,
49203,Maine Maritime Academy,"Castine, ME",Sim AI,,,Maine MaritimeAcademy,
49254,Manchester College,"North Manchester, IN",Sim AI,,,,
49113,Mansfield University of Pennsylvania ,"Mansfield, PA",Sim AI,,,,
49274,Maranatha Baptist University,"Watertown, WI",Sim AI,,Maranatha Baptist University,Maranatha Baptist Bible College,
49540,Marietta College,"Marietta, OH",Sim AI,,,,
49393,Marist College,"Poughkeepsie, NY",Sim AI,,,,
49349,Marquette University,"Milwaukee, WI",Sim AI,,,,
49467,Mars Hill College,"Mars Hill, NC",Sim AI,,,,
49367,Marshall University,"Huntington, WV",Sim AI,,,,
49321,Martin Luther College,"New Ulm, MN",Sim AI,,,,
49275,Maryville College (Tennessee),"Maryville, TN",Sim AI,,,,
49218,Massachusetts Institute of Technology,"Cambridge, MA",Sim AI,,,,
49204,Massachusetts Maritime Academy,"Buzzards Bay, MA",Sim AI,,,,
49127,McDaniel College,"Westminster, MD",Sim AI,,,,
49305,McMurry University,"Abilene, TX",Sim AI,,,,
49045,McNeese State University,"Lake Charles, LA",Sim AI,,,,
49529,Menlo College,"Atherton, CA",holdaway,,,,
49520,Mercyhurst College,"Erie, PA",Sim AI,,,,
49490,Merrimack College,"North Andover, MA",Sim AI,,,,
49461,Mesa State College,"Grand Junction, CO",Sim AI,,,,
49271,Methodist College,"Fayetteville, NC",Sim AI,,,,
49375,Miami University (Ohio),"Oxford, OH",cashman25,,,,
49352,Michigan State University,"East Lansing, MI",Sim AI,,,,
49057,Michigan Technological University,"Houghton, MI",Sim AI,,,,
48987,Middle Tennessee State University,"Murfreesboro, TN",Sim AI,,,,
49209,Middlebury College,"Middlebury, VT",Sim AI,,,,
49456,Midwestern State University,"Wichita Falls, TX",Sim AI,,,,
49293,Miles College,"Birmingham, AL",starfinder77,,,,
49114,Millersville University of Pennsylvania ,"Millersville, PA",Sim AI,,,,
49287,Millikin University,"Decatur, IL",Sim AI,,,,
49257,Millsaps College,"Jackson, MS",tiggerta,,,,
49098,"Minnesota State University, Mankato ","Mankato, MN",belljames,,,,
49499,"Minnesota State University, Moorhead ","Moorhead, MN",Sim AI,,,,
49308,Mississippi College,"Clinton, MS",deep_ball,,,,
48982,Mississippi State University,"Mississippi St., MS",cravedogg,,,,
49052,Mississippi Valley State University,"Itta Bena, MS",Sim AI,,,,
49091,Missouri Southern State University,"Joplin, MO",Sim AI,,,,
49017,Missouri State University,"Springfield, MO",Sim AI,,,,
49087,Missouri Western State College,"St. Joseph, MO",Sim AI,,,,
49549,Monmouth College (Illinois) ,"Monmouth, IL",Sim AI,,,,
49424,Monmouth University,"West Long Branch, NJ",Sim AI,,,,
49454,Montana State University,"Bozeman, MT",Sim AI,,,,
49220,Montclair State University,"Upper Montclair, NJ",Sim AI,,,,
49333,Moravian College,"Bethlehem, PA",cgonz1797,,,,
49033,Morehead State University,"Morehead, KY",Sim AI,,,,
49297,Morehouse College,"Atlanta, GA",sovietsnyper,,,,
49421,Morgan State University,"Baltimore, MD",Sim AI,,,,
49228,Mount Ida College,"Newton Centre, MA",Sim AI,,,,
49536,Mount Union College,"Alliance, OH",rjunderwood9,,,,
49128,Muhlenberg College,"Allentown, PA",Sim AI,,,,
49397,Murray State University,"Murray, KY",Sim AI,,,,
49537,Muskingum College,"New Concord, OH",Sim AI,,,,
49276,Nebraska Wesleyan University,"Lincoln, NE",snordberg,,,,
49462,New Mexico Highlands University,"Las Vegas, NM",coach78,,,,
48992,New Mexico State University,"Las Cruces, NM",Sim AI,,,,
49472,Newberry College,"Newberry, SC",Sim AI,,,,
49046,Nicholls State University,"Thibodaux, LA",Sim AI,,,,
49572,Nichols College,"Dudley, MA",Sim AI,,,,
49413,Norfolk State University,"Norfolk, VA",Sim AI,,,,
49422,North Carolina Agricultural and Technical State University,"Greensboro, NC",Sim AI,,North Carolina Agricultural and Technical State University,North Carolina A&T State University,
49515,North Carolina Central University,"Durham, NC",Sim AI,,,,
49156,North Carolina State University,"Raleigh, NC",Sim AI,,,,
49288,North Central College,"Naperville, IL",Sim AI,,,,
49099,North Dakota State University,"Fargo, ND",Sim AI,,,,
49289,North Park University,"Chicago, IL",Sim AI,,,,
49074,Northeastern State University,"Tahlequah, OK",Sim AI,,,,
49441,Northeastern University,"Boston, MA",Sim AI,,,,
49453,Northern Arizona University,"Flagstaff, AZ",Sim AI,,,,
49383,Northern Illinois University,"De Kalb, IL",Sim AI,,,,
49521,Northern Michigan University,"Marquette, MI",spthibodeau,,,,
49105,Northern State University,"Aberdeen, SD",Sim AI,,,,
49088,Northwest Missouri State University,"Maryville, MO",Sim AI,,,,
49047,Northwestern State University,"Natchitoches, LA",Sim AI,,,,
49353,Northwestern University,"Evanston, IL",Sim AI,,,,
49058,Northwood University,"Midland, MI",Sim AI,,,,
49135,Norwich University,"Northfield, VT",sjurat,,,,
49234,Oberlin College,"Oberlin, OH",Sim AI,,,,
49262,Occidental College,"Los Angeles, CA",Sim AI,,,,
49538,Ohio Northern University,"Ada, OH",usicmark,,,,
49357,Ohio State University,"Columbus, OH",z32fanatic,,,,
49378,Ohio University,"Athens, OH",Sim AI,,,,
49240,Ohio Wesleyan University,"Delaware, OH",Sim AI,,,,
49457,Oklahoma Panhandle State University,"Goodwell, OK",Sim AI,,,Oklahoma PanhandleState University,
49169,Oklahoma State University,"Stillwater, OK",Sim AI,,,,
49318,Olivet College,"Olivet, MI",Sim AI,,,,
48962,Oregon State University,"Corvallis, OR",Sim AI,,,,
49541,Otterbein College,"Westerville, OH",Sim AI,,,,
49063,Ouachita Baptist University,"Arkadelphia, AR",Sim AI,,,,
49493,Pace University,"Pleasantville, NY",Sim AI,,,,
49245,Pacific Lutheran University,"Tacoma, WA",Sim AI,,,,
49358,Pennsylvania State University,"University Park, PA",cubnation7,,,,
49089,Pittsburg State University,"Pittsburg, KS",Sim AI,,,,
49136,Plymouth State College,"Plymouth, NH",Sim AI,,,,
49263,Pomona College,"Claremont, CA",Sim AI,,,Pomona-Pitzer Colleges ,
49449,Portland State University,"Portland, OR",Sim AI,,,,
49055,Prairie View A&M University,"Prairie View, TX",paskin,,,,
49468,Presbyterian College,"Clinton, SC",rposborne,,,,
49030,Princeton University,"Princeton, NJ",sternes9,,,,
49530,Principia College,"Elsah, IL",Sim AI,,,,
49359,Purdue University,"West Lafayette, IN",Sim AI,,,,
49300,Quincy University,"Quincy, IL",Sim AI,,,,
49248,Randolph-Macon College,"Ashland, VA",Sim AI,,,,
49131,Rensselaer Polytechnic Institute,"Troy, NY",Sim AI,,,,
49258,Rhodes College,"Memphis, TN",ztj210,,,,
49364,Rice University,"Houston, TX",sportsdouche,,,,
49550,Ripon College,"Ripon, WI",Sim AI,,,,
49425,Robert Morris University,"Moon Township, PA",Sim AI,,,,
49229,Rockford College,"Rockford, IL",Sim AI,,,,
49259,Rose-Hulman Institute of Technology,"Terre Haute, IN",Sim AI,,,Rose-Hulman Instituteof Technology,
49221,Rowan University,"Glassboro, NJ",Sim AI,,,,
49339,Rutgers University,"New Brunswick, NJ",bigalric,,,"Rutgers, State University of New Jersey, New Brunswick",
49426,Sacred Heart University,"Fairfield, CT",Sim AI,,,,
49522,Saginaw Valley State University,"University Center, MI",ojpick,,,,
49494,Saint Anselm College,"Manchester, NH",Green2White,,,,
49431,Saint Francis University (Pennsylvania),"Loretto, PA",munchuchos,,,,
49299,Saint Joseph`s College,"Rensselaer, IN",Sim AI,,,,
49335,Salisbury University,"Salisbury, MD",Sim AI,,,,
49198,Salve Regina University,"Newport, RI",veejay,,,,
49455,Sam Houston State University,"Huntsville, TX",Sim AI,,,,
49398,Samford University,"Birmingham, AL",Sim AI,,,,
49005,San Diego State University,"San Diego, CA",Sim AI,,,,
49006,San Jose State University,"San Jose, CA",Sim AI,,,,
49020,Savannah State University,"Savannah, GA",Sim AI,,,,
49508,Shaw University,"Raleigh, NC",cusetroop,,,,
49272,Shenandoah University,"Winchester, VA",fatville116,,,,
49474,Shepherd College,"Shepherdstown, WV",dawgnuts,,,,
49120,Shippensburg University of Pennsylvania,"Shippensburg, PA",Sim AI,,,,
49417,Siena College,"Loudonville, NY",tropicana,,,,
49187,Simpson College,"Indianola, IA",Sim AI,,,,
49121,Slippery Rock University of Pennsylvania ,"Slippery Rock, PA",brittsburgh,,,SlipperyRock University of Pennsylvania ,
49423,South Carolina State University,"Orangeburg, SC",Sim AI,,,,
49100,South Dakota State University,"Brookings, SD",Sim AI,,,,
49399,Southeast Missouri State University,"Cape Girardeau, MO",clhurst,,,,
49021,Southeastern Louisiana University,"Hammond, LA",thegruntboy,,,,
49075,Southeastern Oklahoma State University - Durant,"Durant, OK",Sim AI,,,,
49069,Southern Arkansas University,"Magnolia, AR",Sim AI,,,,
49491,Southern Connecticut State University,"New Haven, CT",Sim AI,,,,
49013,Southern Illinois University at Carbondale,"Carbondale, IL",Sim AI,,,,
49372,Southern Methodist University,"Dallas, TX",Sim AI,,,,
49502,"Southern University, Baton Rouge","Baton Rouge, LA",Sim AI,,,,
49022,Southern Utah University,"Cedar City, UT",jay9,,,,
49092,Southwest Baptist University,"Bolivar, MO",Sim AI,,,,
49500,Southwest Minnesota State University,"Marshall, MN",Sim AI,,,,
49076,Southwestern Oklahoma State University - Weatherford ,"Weatherford, OK",Sim AI,,,,
49141,Springfield College,"Springfield, MA",Sim AI,,,,
49516,St. Augustine`s College,"Raleigh, NC",Sim AI,,,,
49101,St. Cloud State University,"St. Cloud, MN",heyvern20,,,,
49145,St. John Fisher College,"Rochester, NY",Sim AI,,,,
49562,St. John`s University (Minnesota),"Collegeville, MN",Sim AI,,,,
